CD_MUN,NR_TURNO,CD_CARGO,NR_VOTAVEL,SQ_CANDIDATO,QT_VOTOS
2611533,1,3,14,170001618273,7
2611533,1,3,22,170001602587,213
2611533,1,3,40,170001618087,1011
2611533,1,3,44,170001604111,2044
2611533,1,3,45,170001604087,56
2611533,1,3,50,170001715331,1
2611533,1,3,77,170001610442,981
2611533,1,3,95,-1,172
2611533,1,3,96,-1,477
2611533,1,5,95,-1,326
2611533,1,5,96,-1,491
2611533,1,5,130,170001618130,1487
2611533,1,5,160,170001601200,1
2611533,1,5,222,170001604083,385
2611533,1,5,444,170001609174,24
2611533,1,5,456,170001608748,9
2611533,1,5,500,170001613411,2
2611533,1,5,555,170001610248,2237
2611533,1,6,10,-3,15
2611533,1,6,11,-3,8
2611533,1,6,12,-3,17
2611533,1,6,13,-3,43
2611533,1,6,14,-3,5
2611533,1,6,23,-3,1
2611533,1,6,33,-3,2
2611533,1,6,40,-3,24
2611533,1,6,43,-3,2
2611533,1,6,44,-3,5
2611533,1,6,50,-3,1
2611533,1,6,55,-3,2
2611533,1,6,70,-3,14
2611533,1,6,77,-3,35
2611533,1,6,95,-1,283
2611533,1,6,96,-1,169
2611533,1,6,1000,170001595454,1
2611533,1,6,1001,170001595459,1
2611533,1,6,1010,170001595473,6
2611533,1,6,1011,170001595460,1
2611533,1,6,1012,170001595468,7
2611533,1,6,1018,170001595477,119
2611533,1,6,1100,170001618620,24
2611533,1,6,1113,170001618612,1
2611533,1,6,1120,170001618614,8
2611533,1,6,1122,170001618605,24
2611533,1,6,1133,170001618616,2
2611533,1,6,1155,170001618609,9
2611533,1,6,1161,170001618615,3
2611533,1,6,1190,170001618622,1
2611533,1,6,1212,170001618841,2
2611533,1,6,1214,170001618854,1
2611533,1,6,1233,170001618853,1
2611533,1,6,1234,170001618856,1
2611533,1,6,1300,170001609032,1
2611533,1,6,1310,170001609031,3
2611533,1,6,1311,170001609039,2
2611533,1,6,1313,170001609023,5
2611533,1,6,1314,170001609028,397
2611533,1,6,1333,170001609029,205
2611533,1,6,1340,170001609035,1
2611533,1,6,1515,170001613277,1
2611533,1,6,1555,170001613278,1
2611533,1,6,1818,170001619597,33
2611533,1,6,1938,170001602571,1
2611533,1,6,1944,170001602560,3
2611533,1,6,1999,170001602574,19
2611533,1,6,2022,170001715431,1
2611533,1,6,2200,170001609087,54
2611533,1,6,2210,170001609070,32
2611533,1,6,2222,170001609080,79
2611533,1,6,2233,170001609086,14
2611533,1,6,2238,170001609089,2
2611533,1,6,2244,170001609085,2
2611533,1,6,2299,170001609073,2
2611533,1,6,2323,170001604097,2
2611533,1,6,2800,170001634992,33
2611533,1,6,2890,170001634982,3
2611533,1,6,3000,170001596604,5
2611533,1,6,3333,170001718009,2
2611533,1,6,3600,170001718769,2
2611533,1,6,4000,170001619895,24
2611533,1,6,4001,170001619896,12
2611533,1,6,4010,170001619897,7
2611533,1,6,4011,170001619894,79
2611533,1,6,4013,170001619902,2
2611533,1,6,4040,170001619899,605
2611533,1,6,4044,170001619893,1
2611533,1,6,4333,170001609025,10
2611533,1,6,4400,170001609134,1
2611533,1,6,4401,170001609122,16
2611533,1,6,4404,170001609113,1
2611533,1,6,4410,170001609117,4
2611533,1,6,4433,170001609111,3
2611533,1,6,4477,170001609123,23
2611533,1,6,4499,170001609121,1
2611533,1,6,5000,170001619584,1
2611533,1,6,5111,170001609641,24
2611533,1,6,5138,170001609657,1
2611533,1,6,5151,170001609646,1
2611533,1,6,5555,170001609929,1
2611533,1,6,7007,170001610408,1
2611533,1,6,7013,170001610417,1
2611533,1,6,7028,170001610406,1
2611533,1,6,7040,170001610403,2
2611533,1,6,7055,170001610402,1
2611533,1,6,7070,170001610411,1944
2611533,1,6,7077,170001610413,6
2611533,1,6,7700,170001610572,4
2611533,1,6,7707,170001728102,5
2611533,1,6,7710,170001610565,1
2611533,1,6,7711,170001610564,5
2611533,1,6,7712,170001610570,11
2611533,1,6,7713,170001610574,398
2611533,1,6,7777,170001610575,21
2611533,1,6,8000,170001730172,1
2611533,1,7,10,-3,4
2611533,1,7,11,-3,5
2611533,1,7,12,-3,5
2611533,1,7,13,-3,113
