NR_TURNO,CD_MUN,NM_MUN,CD_CARGO,NR_VOTAVEL,SQ_CANDIDATO,QT_VOTOS
1,23000,QUIXABA,3,14,170001618273,7
1,23000,QUIXABA,3,22,170001602587,213
1,23000,QUIXABA,3,40,170001618087,1011
1,23000,QUIXABA,3,44,170001604111,2044
1,23000,QUIXABA,3,45,170001604087,56
1,23000,QUIXABA,3,50,170001715331,1
1,23000,QUIXABA,3,77,170001610442,981
1,23000,QUIXABA,3,95,-1,172
1,23000,QUIXABA,3,96,-1,477
1,23000,QUIXABA,5,95,-1,326
1,23000,QUIXABA,5,96,-1,491
1,23000,QUIXABA,5,130,170001618130,1487
1,23000,QUIXABA,5,160,170001601200,1
1,23000,QUIXABA,5,222,170001604083,385
1,23000,QUIXABA,5,444,170001609174,24
1,23000,QUIXABA,5,456,170001608748,9
1,23000,QUIXABA,5,500,170001613411,2
1,23000,QUIXABA,5,555,170001610248,2237
1,23000,QUIXABA,6,10,-3,15
1,23000,QUIXABA,6,11,-3,8
1,23000,QUIXABA,6,12,-3,17
1,23000,QUIXABA,6,13,-3,43
1,23000,QUIXABA,6,14,-3,5
1,23000,QUIXABA,6,23,-3,1
1,23000,QUIXABA,6,33,-3,2
1,23000,QUIXABA,6,40,-3,24
1,23000,QUIXABA,6,43,-3,2
1,23000,QUIXABA,6,44,-3,5
1,23000,QUIXABA,6,50,-3,1
1,23000,QUIXABA,6,55,-3,2
1,23000,QUIXABA,6,70,-3,14
1,23000,QUIXABA,6,77,-3,35
1,23000,QUIXABA,6,95,-1,283
1,23000,QUIXABA,6,96,-1,169
1,23000,QUIXABA,6,1000,170001595454,1
1,23000,QUIXABA,6,1001,170001595459,1
1,23000,QUIXABA,6,1010,170001595473,6
1,23000,QUIXABA,6,1011,170001595460,1
1,23000,QUIXABA,6,1012,170001595468,7
1,23000,QUIXABA,6,1018,170001595477,119
1,23000,QUIXABA,6,1100,170001618620,24
1,23000,QUIXABA,6,1113,170001618612,1
1,23000,QUIXABA,6,1120,170001618614,8
1,23000,QUIXABA,6,1122,170001618605,24
1,23000,QUIXABA,6,1133,170001618616,2
1,23000,QUIXABA,6,1155,170001618609,9
1,23000,QUIXABA,6,1161,170001618615,3
1,23000,QUIXABA,6,1190,170001618622,1
1,23000,QUIXABA,6,1212,170001618841,2
1,23000,QUIXABA,6,1214,170001618854,1
1,23000,QUIXABA,6,1233,170001618853,1
1,23000,QUIXABA,6,1234,170001618856,1
1,23000,QUIXABA,6,1300,170001609032,1
1,23000,QUIXABA,6,1310,170001609031,3
1,23000,QUIXABA,6,1311,170001609039,2
1,23000,QUIXABA,6,1313,170001609023,5
1,23000,QUIXABA,6,1314,170001609028,397
1,23000,QUIXABA,6,1333,170001609029,205
1,23000,QUIXABA,6,1340,170001609035,1
1,23000,QUIXABA,6,1515,170001613277,1
1,23000,QUIXABA,6,1555,170001613278,1
1,23000,QUIXABA,6,1818,170001619597,33
1,23000,QUIXABA,6,1938,170001602571,1
1,23000,QUIXABA,6,1944,170001602560,3
1,23000,QUIXABA,6,1999,170001602574,19
1,23000,QUIXABA,6,2022,170001715431,1
1,23000,QUIXABA,6,2200,170001609087,54
1,23000,QUIXABA,6,2210,170001609070,32
1,23000,QUIXABA,6,2222,170001609080,79
1,23000,QUIXABA,6,2233,170001609086,14
1,23000,QUIXABA,6,2238,170001609089,2
1,23000,QUIXABA,6,2244,170001609085,2
1,23000,QUIXABA,6,2299,170001609073,2
1,23000,QUIXABA,6,2323,170001604097,2
1,23000,QUIXABA,6,2800,170001634992,33
1,23000,QUIXABA,6,2890,170001634982,3
1,23000,QUIXABA,6,3000,170001596604,5
1,23000,QUIXABA,6,3333,170001718009,2
1,23000,QUIXABA,6,3600,170001718769,2
1,23000,QUIXABA,6,4000,170001619895,24
1,23000,QUIXABA,6,4001,170001619896,12
1,23000,QUIXABA,6,4010,170001619897,7
1,23000,QUIXABA,6,4011,170001619894,79
1,23000,QUIXABA,6,4013,170001619902,2
1,23000,QUIXABA,6,4040,170001619899,605
1,23000,QUIXABA,6,4044,170001619893,1
1,23000,QUIXABA,6,4333,170001609025,10
1,23000,QUIXABA,6,4400,170001609134,1
1,23000,QUIXABA,6,4401,170001609122,16
1,23000,QUIXABA,6,4404,170001609113,1
1,23000,QUIXABA,6,4410,170001609117,4
1,23000,QUIXABA,6,4433,170001609111,3
1,23000,QUIXABA,6,4477,170001609123,23
1,23000,QUIXABA,6,4499,170001609121,1
1,23000,QUIXABA,6,5000,170001619584,1
1,23000,QUIXABA,6,5111,170001609641,24
1,23000,QUIXABA,6,5138,170001609657,1
1,23000,QUIXABA,6,5151,170001609646,1
1,23000,QUIXABA,6,5555,170001609929,1
1,23000,QUIXABA,6,7007,170001610408,1
1,23000,QUIXABA,6,7013,170001610417,1
1,23000,QUIXABA,6,7028,170001610406,1
1,23000,QUIXABA,6,7040,170001610403,2
1,23000,QUIXABA,6,7055,170001610402,1
1,23000,QUIXABA,6,7070,170001610411,1944
1,23000,QUIXABA,6,7077,170001610413,6
1,23000,QUIXABA,6,7700,170001610572,4
1,23000,QUIXABA,6,7707,170001728102,5
1,23000,QUIXABA,6,7710,170001610565,1
1,23000,QUIXABA,6,7711,170001610564,5
1,23000,QUIXABA,6,7712,170001610570,11
1,23000,QUIXABA,6,7713,170001610574,398
1,23000,QUIXABA,6,7777,170001610575,21
1,23000,QUIXABA,6,8000,170001730172,1
1,23000,QUIXABA,7,10,-3,4
1,23000,QUIXABA,7,11,-3,5
1,23000,QUIXABA,7,12,-3,5
