NR_TURNO,CD_CARGO,SQ_CANDIDATO,NM_URNA_CANDIDATO,NM_CANDIDATO,NR_CANDIDATO,NR_PARTIDO,SG_PARTIDO,CD_SITUACAO_CANDIDATURA,CD_SIT_TOT_TURNO
1,7,170001727901,JOSAFÁ ARAÚJO,JOSAFA JOSE DE ARAUJO,18523,18,REDE,12,5
1,6,170001723579,DANIEL UCHOA,DANIEL TADEU UCHOA MATEUS,7766,77,SOLIDARIEDADE,12,5
1,7,170001618397,EURICO CEZAR,EURICO DE LIMA CÉZAR JÚNIOR,18118,18,REDE,12,5
1,7,170001735574,BELO BELO,ROGERIO FAÇANHA DE SOUZA,44944,44,UNIÃO,12,5
1,7,170001723517,BERTINHO,BARTOLOMEU GALDINO DA SILVA,90190,90,PROS,3,4
1,6,170001634984,NELSON DAS BARREIRAS,NELSON BATISTA DE SÁ BARRETO FILHO,2827,28,PRTB,12,4
1,7,170001610751,LEANDRO KARIOKA,LEANDRO OLIVEIRA DOS ANJOS,77122,77,SOLIDARIEDADE,12,5
1,6,170001723515,EDSON BAIXINHO ,EDSON FIRMINO DO NASCIMENTO,9090,90,PROS,3,4
1,7,170001619712,DHIEGO SERRA,DHIEGO ADAUTO MAGALHÃES MOURATO,22100,22,PL,12,5
1,6,170001723350,IRMÃO DA KOMBI,IRINEU FRANCISCO DA SILVA,2711,27,DC,12,4
1,6,170001618837,THALLES CHERLES,THALLES PITTER GOMES DA SILVA,1255,12,PDT,12,4
1,6,170001718027,OBAMA,SAMUEL JOSE OBAMA DE ARAUJO,3369,33,PMN,12,4
1,6,170001619597,TÚLIO GADELHA,TÚLIO GADELHA SALES DE MELO,1818,18,REDE,12,2
1,7,170001610750,FABRIZIO FERRAZ,FABRIZIO DARIO DE SÁ FERRAZ,77111,77,SOLIDARIEDADE,12,2
1,7,170001619690,TIAGO MEDEIROS,TIAGO FEITOSA DOS SANTOS MEDEIROS,22822,22,PL,12,5
1,9,170001601202,RICARDO CHAVEIRINHO,RICARDO JOSÉ DA SILVA,160,16,PSTU,12,4
1,7,170001609303,KIKO,HENRIQUE SEVERIANO DE BRITTO AZEDO,44190,44,UNIÃO,12,5
1,7,170001609298,PAULO MACIEL,PAULO ROBERTO RODRIGUES MACIEL,44149,44,UNIÃO,12,5
1,6,170001610569,DR MAURICIO PONTES,CARLOS MAURICIO FURTADO PONTES,7789,77,SOLIDARIEDADE,12,5
1,10,170001608747,ANTONIO DIAS,ANTONIO DIAS DA SILVA FILHO,456,45,PSDB,3,-1
1,6,170001618856,WOLNEY QUEIROZ,WOLNEY QUEIROZ MACIEL,1234,12,PDT,12,4
1,6,170001609044,RENILDO CALHEIROS,RENILDO VASCONCELOS CALHEIROS,6513,65,PC do B,12,3
1,6,170001609064,SANDRA DO POVO,ALEXSANDRA MARIA DA SILVA,2266,22,PL,12,5
1,7,170001718649,ANDREZA SANTOS,ANDREZA BATISTA DOS SANTOS,36700,36,AGIR,12,4
1,7,170001620378,MARQUILANO,MARQUILANO FRANCISCO DA SILVA,40240,40,PSB,12,5
1,7,170001619713,XANDE BOLA,ALEXANDRE PABLO DE ALBUQUERQUE,22223,22,PL,12,5
1,7,170001717062,JOSÉ ALVES DOAÇÕES,JOSÉ SEBASTIÃO ALVES DE OLIVEIRA FILHO,28888,28,PRTB,12,4
1,6,170001609030,DR. PEDRO VELÔSO,PEDRO HENRIQUE LIMA VELÔSO,1301,13,PT,12,5
1,7,170001605496,RICARDO BOMBEIRO,JOSE RICARDO MEDEIROS DE ARAUJO,45193,45,PSDB,12,5
1,6,170001619581,CAROL VERGOLINO,CAROLINA BARBOSA OLIVEIRA VERGOLINO,5050,50,PSOL,12,5
1,7,170001604069,EULINA COUTINHO ,EULINA MARIA COUTINHO DA SILVA,16066,16,PSTU,12,4
1,6,170001595475,DRA VERA LOPES,VERA LUCIA LOPES VIEIRA,1023,10,REPUBLICANOS,12,5
1,9,170001717467,GABRIEL ALEX,GABRIEL ALEX DA SILVA,290,29,PCO,3,4
1,6,170001609638,TENENTE RICARDO PE,SERGIO RICARDO PEREIRA DA SILVA,5115,51,PATRIOTA,3,-1
1,7,170001723367,PROFESSOR SANTANA,ANTONIO DE LIMA SANTANA,27627,27,DC,12,4
1,7,170001618407,ALEXANDRE PIRES,ALEXANDRE HENRIQUE BEZERRA PIRES,50013,50,PSOL,12,5
1,6,170001613161,NUNES RAFAEL,NUNES RAFAEL MENDES COELHO,4511,45,PSDB,12,4
1,6,170001609131,GALO CEGO ,SEVERINO MANOEL DA SILVA NETO,4452,44,UNIÃO,12,5
1,6,170001620146,CAPITÃO SALAS,RICARDO SALAS ROLDAN,1414,14,PTB,12,4
1,6,170001724243,MARIOZINHO RIBEIRO,WLADEMIR RIBEIRO GOMES,5010,50,PSOL,12,5
1,6,170001619580,PAULO RUBEM,PAULO RUBEM SANTIAGO FERREIRA,1813,18,REDE,12,5
1,6,170001620142,BETE BARROS,ELIZABETE MARIA DA SILVA BARROS,1401,14,PTB,3,4
1,7,170001618737,KAIO MANIÇOBA,KAIO CESAR DE MOURA MANIÇOBA NOVAES FERRAZ,11444,11,PP,12,2
1,6,170001595470,RAFAEL NUNES,RAFAEL NUNES DA SILVA,1003,10,REPUBLICANOS,12,5
1,6,170001609038,CRISTIANO DO CAFÉ,CRISTIANO NASCIMENTO DA SILVA,1312,13,PT,3,-1
1,6,170001609654,JURANDIR ARAUJO,JURANDIR DE ARAUJO OLIEVEIRA,5188,51,PATRIOTA,3,-1
1,6,170001634990,ISAAC TRAZENDO A ARCA,ISAAC RAMOS TEODOSIO,2882,28,PRTB,12,4
1,7,170001605477,BASILIO MACIEL,BASILIO BARBOSA MACIEL,45777,45,PSDB,12,5
1,7,170001619980,LEONARDO GALVÃO,LEONARDO DE LIMA GALVÃO,14777,14,PTB,12,4
1,6,170001634986,ANA KEYLLA,ANA KEYLLA DA SILVA,2802,28,PRTB,12,4
1,6,170001619901,MIRELA VOZES NEGRAS,MIRELA MARIA DOS SANTOS,4046,40,PSB,12,5
1,6,170001736049,RENATA LIMA,RENATA VANESSA BARBOSA DE LIMA,4402,44,UNIÃO,12,5
1,6,170001619898,MIRIAM CUNHA,MIRIAM VIEIRA DA CUNHA,4024,40,PSB,12,5
1,7,170001595444,OSVALDO CAVALCANTE,OSVALDO ALVES CAVALCANTE,10090,10,REPUBLICANOS,12,5
1,6,170001723362,LUIZ DE FRANÇA,LUIZ LINO DE FRANÇA,2744,27,DC,12,4
1,10,170001618131,FRANCISCO ALEXANDRE,FRANCISCO FERREIRA ALEXANDRE,130,13,PT,12,1
1,6,170001609126,MILTON MICUIBA,MILTON CÉSAR PEREIRA DA SILVA,4466,44,UNIÃO,12,5
1,7,170001618406,JAIME MARCELINO,JAIME MARCELINO DA SILVA,50144,50,PSOL,12,5
1,7,170001608963,FLÁVIA HELLEN,FLÁVIA HELLEN DE OLIVEIRA GOMES,13180,13,PT,12,5
1,6,170001618615,MISSIONÁRIA MICHELE COLLINS,DAIZE MICHELE DE AGUIAR GONÇALVES,1161,11,PP,12,5
1,6,170001618620,LULA DA FONTE,LUIZ EDUARDO DE QUEIROZ CAMPOS DA FONTE ALBUQUERQUE,1100,11,PP,12,3
1,7,170001620394,ERIBERTO FILHO,ERIBERTO GABRIEL ACIOLI MEDEIROS,40444,40,PSB,12,2
1,6,170001609066,FABIANNO OLIVEIRA,JOSÉ FABIANO LOPES LINO DE OLIVEIRA,2232,22,PL,12,5
1,6,170001609657,RUBEM BRITO,RUBEM JOSÉ BRITO JUNIOR,5138,51,PATRIOTA,12,4
1,6,170001718019,TOTA V-8 E V-9,ANTONIO COSMO DA SILVA FILHO,3399,33,PMN,3,-1
1,6,170001718776,DANIELA FIDELIS,MARIA DANIELA FIDELIS DO NASCIMENTO,3695,36,AGIR,12,4
1,6,170001619586,JANIELLY AZEVEDO,JANIELLY MARIA COUTINHO DE AZEVEDO,5088,50,PSOL,12,5
1,3,170001610442,MARÍLIA ARRAES,MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,77,77,SOLIDARIEDADE,12,6
1,6,170001602561,BRUNNA BEZERRA,BRUNNA RAFAELLA NASCIMENTO BEZERRA,1900,19,PODE,12,4
1,6,170001595471,PROFESSOR SAMUEL,SAMUEL JOSE TAVARES DE OLIVEIRA,1045,10,REPUBLICANOS,12,5
1,3,170001601203,CLAUDIA RIBEIRO,CLAUDIA MACHADO RIBEIRO,16,16,PSTU,12,4
1,6,170001609073,IRMAO OSINALDO,OSINALDO VALDEMAR DE SOUZA,2299,22,PL,12,5
1,6,170001619896,PROFESSORA MARIA JOSÉ DE SENA,MARIA JOSÉ DE SENA,4001,40,PSB,12,5
1,6,170001718763,CHARLES DA JUVENTUDE,CHARLES LINDEMBERG MENDONÇA DE ALBUQUERQUE,3610,36,AGIR,3,-1
1,6,170001610566,ZÉ AUGUSTO MAIA,JOSÉ AUGUSTO MAIA,7788,77,SOLIDARIEDADE,12,5
1,7,170001718643,JORGE GOMES,JORGE GOMES DA SILVA,36999,36,AGIR,12,4
1,7,170001613435,LUIZ CARLOS PÉ DE SERRA,LUIZ CARLOS DA ROCHA,70222,70,AVANTE,12,4
1,7,170001610726,SANTOS FARIAS,JOÃO AMORIM DE FARIAS,77001,77,SOLIDARIEDADE,12,5
1,7,170001718642,VITINHO MAIA,VICTOR LUCAS BEZERRA DE SIQUEIRA,36012,36,AGIR,12,4
1,7,170001718142,LUCIANO RIBEIRO,LUCIANO MARCELO DOS SANTOS MIRANDA,33324,33,PMN,12,4
1,7,170001724259,ZÉ BRAZ COLETIVO AFROS,JOSÉ BRAZ DA SILVA,18456,18,REDE,12,5
1,7,170001610734,SEBASTIÃO DAS CAROLINAS,SEBASTIÃO FRANCISCO FARIAS FILHO,77110,77,SOLIDARIEDADE,12,5
1,7,170001609266,ALTAIR FERREIRA ,ALTAIR DA SILVA FERREIRA,44744,44,UNIÃO,12,5
1,7,170001609265,ROMERO,ROMERO LIMA BEZERRA DE ALBUQUERQUE,44444,44,UNIÃO,12,2
1,7,170001595439,HUMBERTO MARRETA,JOSE HUMBERTO DA SILVA,10300,10,REPUBLICANOS,3,-1
1,7,170001618743,DELEGADO LESSA,ERICK DA SILVA LESSA,11022,11,PP,12,5
1,7,170001723370,CARLOS XIMENES,MANOEL CARLOS XIMENES,27027,27,DC,12,4
1,7,170001613431,ERNANDE XAVIER,ERNANDE MARINHO XAVIER,70020,70,AVANTE,12,4
1,7,170001595426,FERNANDA COSTA,FERNANDA MARIA TIMOTEO SOUZA COSTA,10381,10,REPUBLICANOS,12,5
1,7,170001620369,POLLYANA DIAS,LILIAN POLLYANA DIAS FERREIRA,40222,40,PSB,12,5
1,6,170001718024,TIA NICE,CLAUDENICE SUELI DA COSTA,3365,33,PMN,12,4
1,7,170001618413,MÔNICA COLETIVO ARCO-ÍRIS,MÔNICA GLEITE DA SILVA,18222,18,REDE,12,5
1,7,170001618419,EDINALDA CUIDADORA,EDINALDA MORAIS DOS SANTOS,18321,18,REDE,12,5
1,7,170001618417,JÔ DAS JUNTAS,MARIA JOSELITA PEREIRA CAVALCANTI,50180,50,PSOL,12,5
1,6,170001718029,CLAUDIA ARAUJO,CLAUDIA CRISTINA AVELINA DE ARAUJO,3326,33,PMN,12,4
1,6,170001609076,RUBEM,RUBEM RODRIGUES DA SILVA,2234,22,PL,12,5
1,6,170001610571,DR CHARLES LUCENA,ANTÔNIO CHARLES LUCENA DE OLIVEIRA MÉLLO,7755,77,SOLIDARIEDADE,12,5
1,6,170001618844,GORETTI QUEIROZ,MARIA GORETTI CORDEIRO DE QUEIROZ,1222,12,PDT,12,4
1,7,170001718641,IRMÃO DA PEDRA,ADEILDO FRANCISCO GOMES,36333,36,AGIR,12,4
1,7,170001609886,JOÃO LIRA,JOÃO FRANCISCO DE LIRA,51111,51,PATRIOTA,3,4
1,7,170001618942,FALCÃO BENÉ PROFESSOR,ROBERTO JOSE FALCAO FERREIRA,12333,12,PDT,12,4
1,6,170001609068,CORONEL SOUZA FILHO,JOSÉ PIRES DE SOUZA FILHO,2202,22,PL,12,5
1,7,170001618751,PASTORA MANA,SEVERINA DA CONCEIÇÃO MARTINS SILVA,11440,11,PP,12,5
1,7,170001605485,NEIDINHA DE WELBER,ERONEIDES CRISTINA GOMES DO NASCIMENTO,45111,45,PSDB,12,5
1,6,170001613162,ROCO FRUTAS E VERDURAS,EDMARIO JOSÉ DE SOUZA,2345,23,CIDADANIA,3,-1
1,7,170001723182,ELISVALDO LORINHO DO POVO,ELISVALDO HENRIQUE DA SILVA,65111,65,PC do B,12,5
1,6,170001718780,EMANUEL DANTAS,EMANUEL DANTAS DO NASCIMENTO,3660,36,AGIR,3,4
1,7,170001608969,MAURICIO TREVO LAJES,MAURÍCIO JOSÉ DA SILVA,65333,65,PC do B,12,5
1,6,170001595465,ZÉ CARLOS,JOSE CARLOS DE SOUZA CAMPOS,1020,10,REPUBLICANOS,12,5
1,7,170001620396,ISIS PAQUITA,ISIS GOMES DA SILVA,40033,40,PSB,12,5
1,7,170001609878,LUCIANA PATRIOTA,LUCIANA LUIZA DE LIMA,51777,51,PATRIOTA,12,5
1,7,170001619725,CANTOR SANDRYNO FERRAZ,SANDRINO RODRIGUES DE CARVALHO FERRAZ,22678,22,PL,12,5
1,6,170001604096,CLAUDEILSON OLIVEIRA,CLAUDEILSON OLIVEIRA DE CARVALHO,4588,45,PSDB,12,4
1,6,170001613275,PROF NÉLIO FONSECA COLETIVO PE,NÉLIO FERNANDO DA FONSECA AGUIAR E SILVA,1500,15,MDB,12,5
1,6,170001602574,ZÉ NEGÃO,JOSÉ EDSON FERREIRA,1999,19,PODE,12,4
1,7,170001610738,ARMANDINHO,ARMANDO DANTAS DE BARROS FILHO,77000,77,SOLIDARIEDADE,12,5
1,6,170001609070,CORONEL MEIRA,LUIZ DE FRANÇA E SILVA MEIRA,2210,22,PL,12,2
1,6,170001609082,ANTONIO DE LEMOS,ANTÔNIO DE LEMOS VASCONCELOS NETO,2255,22,PL,12,5
