CD_CARGO,NR_TURNO,CD_MUN,QT_VOTOS
3,1,2600054,68900
3,1,2600104,22443
3,1,2600203,13773
3,1,2600302,16452
3,1,2600401,15678
3,1,2600500,24088
3,1,2600609,9929
3,1,2600708,22086
3,1,2600807,13820
3,1,2600906,13526
3,1,2601003,6944
3,1,2601052,13814
3,1,2601102,46163
3,1,2601201,40251
3,1,2601300,8336
3,1,2601409,23494
3,1,2601508,7637
3,1,2601607,12161
3,1,2601706,48922
3,1,2601805,7433
3,1,2601904,39215
3,1,2602001,20612
3,1,2602100,26190
3,1,2602209,23937
3,1,2602308,24471
3,1,2602407,7382
3,1,2602506,5749
3,1,2602605,26424
3,1,2602704,9288
3,1,2602803,28146
3,1,2602902,136496
3,1,2603009,20193
3,1,2603108,12888
3,1,2603207,14692
3,1,2603306,6276
3,1,2603405,5277
3,1,2603454,104582
3,1,2603504,12309
3,1,2603603,5880
3,1,2603702,13507
3,1,2603801,11765
3,1,2603900,12273
3,1,2603926,9068
3,1,2604007,48249
3,1,2604106,205619
3,1,2604155,9305
3,1,2604205,19638
3,1,2604304,7525
3,1,2604403,9227
3,1,2604502,15435
3,1,2604601,15808
3,1,2604700,9699
3,1,2604809,8419
3,1,2604908,11775
3,1,2605004,15790
3,1,2605103,21358
3,1,2605152,12915
3,1,2605202,39300
3,1,2605301,21264
3,1,2605400,14553
3,1,2605459,2300
3,1,2605509,8087
3,1,2605608,12584
3,1,2605707,18821
3,1,2605806,10233
3,1,2605905,11744
3,1,2606002,78560
3,1,2606101,18527
3,1,2606200,52315
3,1,2606309,5628
3,1,2606408,54213
3,1,2606507,11039
3,1,2606606,15350
3,1,2606705,5447
3,1,2606804,72677
3,1,2606903,7015
3,1,2607000,11041
3,1,2607109,3387
3,1,2607208,66935
3,1,2607307,16813
3,1,2607406,3567
3,1,2607505,14715
3,1,2607604,14008
3,1,2607653,19151
3,1,2607703,9372
3,1,2607752,16359
3,1,2607802,10788
3,1,2607901,387590
3,1,2607950,7020
3,1,2608008,11497
3,1,2608057,8316
3,1,2608107,18814
3,1,2608206,10105
3,1,2608255,7987
3,1,2608305,10121
3,1,2608404,9153
3,1,2608453,12373
3,1,2608503,14791
3,1,2608602,8462
3,1,2608701,9098
3,1,2608750,16095
3,1,2608800,24722
3,1,2608909,37209
3,1,2609006,15163
3,1,2609105,8573
3,1,2609154,9587
3,1,2609204,6360
3,1,2609303,8978
3,1,2609402,40036
3,1,2609501,21117
3,1,2609600,258405
3,1,2609709,14733
3,1,2609808,9648
3,1,2609907,37194
3,1,2610004,31513
3,1,2610103,4487
3,1,2610202,15510
3,1,2610301,8799
3,1,2610400,14418
3,1,2610509,20719
3,1,2610608,36993
3,1,2610707,195450
3,1,2610806,14626
3,1,2610905,38241
3,1,2611002,19419
3,1,2611101,190832
3,1,2611200,7837
3,1,2611309,16700
3,1,2611408,8739
3,1,2611507,11513
3,1,2611533,4962
3,1,2611606,1041541
3,1,2611705,17177
3,1,2611804,22380
3,1,2611903,12781
3,1,2612000,9526
3,1,2612109,5432
3,1,2612208,33660
3,1,2612307,9329
3,1,2612406,12805
3,1,2612455,10125
3,1,2612471,7536
3,1,2612505,53119
3,1,2612554,9499
3,1,2612604,24081
3,1,2612703,8904
3,1,2612802,6372
3,1,2612901,5851
3,1,2613008,27740
3,1,2613107,25355
3,1,2613206,14035
3,1,2613305,14046
3,1,2613404,12207
3,1,2613503,20135
3,1,2613602,18547
3,1,2613701,67201
3,1,2613800,11258
3,1,2613909,48881
3,1,2614006,12188
3,1,2614105,19300
3,1,2614204,22261
3,1,2614303,7511
3,1,2614402,4365
3,1,2614501,38186
3,1,2614600,16412
3,1,2614709,8457
3,1,2614808,13523
3,1,2614857,14652
3,1,2615003,17462
3,1,2615102,5025
3,1,2615201,6920
3,1,2615300,33890
3,1,2615409,27495
3,1,2615508,9348
3,1,2615607,17418
3,1,2615706,9394
3,1,2615805,12469
3,1,2615904,6432
3,1,2616001,11218
3,1,2616100,6385
3,1,2616183,6293
3,1,2616209,13209
3,1,2616308,17288
3,1,2616407,84935
3,1,2616506,7800
3,2,2600054,69586
3,2,2600104,22796
3,2,2600203,13861
3,2,2600302,16708
3,2,2600401,15715
3,2,2600500,24257
3,2,2600609,10034
3,2,2600708,22466
3,2,2600807,13969
3,2,2600906,13625
3,2,2601003,7150
3,2,2601052,13924
3,2,2601102,47018
3,2,2601201,40425
3,2,2601300,8210
3,2,2601409,23690
3,2,2601508,7559
3,2,2601607,12033
3,2,2601706,49488
3,2,2601805,7285
3,2,2601904,39763
3,2,2602001,21111
3,2,2602100,26354
3,2,2602209,24127
3,2,2602308,24861
3,2,2602407,7504
3,2,2602506,5893
3,2,2602605,26830
3,2,2602704,9374
3,2,2602803,28624
3,2,2602902,137384
3,2,2603009,20169
3,2,2603108,12897
3,2,2603207,14818
3,2,2603306,6334
3,2,2603405,5275
3,2,2603454,105938
3,2,2603504,12575
3,2,2603603,5944
3,2,2603702,13519
3,2,2603801,11922
3,2,2603900,12424
3,2,2603926,9080
3,2,2604007,49181
3,2,2604106,208710
3,2,2604155,9413
3,2,2604205,19679
3,2,2604304,7191
3,2,2604403,9284
3,2,2604502,15833
3,2,2604601,16220
3,2,2604700,9765
3,2,2604809,8440
3,2,2604908,11796
3,2,2605004,15969
3,2,2605103,21708
3,2,2605152,13231
3,2,2605202,39456
3,2,2605301,21815
3,2,2605400,14833
3,2,2605459,2089
3,2,2605509,8235
3,2,2605608,12794
3,2,2605707,18507
3,2,2605806,10353
3,2,2605905,11792
3,2,2606002,79616
3,2,2606101,19070
3,2,2606200,52467
3,2,2606309,5659
3,2,2606408,55828
3,2,2606507,11162
3,2,2606606,15304
3,2,2606705,5491
3,2,2606804,73493
3,2,2606903,7092
3,2,2607000,11039
3,2,2607109,3440
3,2,2607208,67168
3,2,2607307,17145
3,2,2607406,3391
3,2,2607505,14899
3,2,2607604,14233
3,2,2607653,19560
3,2,2607703,9547
3,2,2607752,16407
3,2,2607802,10770
3,2,2607901,391254
3,2,2607950,7069
