NR_TURNO,CD_MUN,CD_CARGO,NR_VOTAVEL,QT_VOTOS
1,2600054,3,14,77
1,2600054,3,16,20
1,2600054,3,21,391
1,2600054,3,22,16283
1,2600054,3,29,9
1,2600054,3,35,17
1,2600054,3,40,8021
1,2600054,3,44,6555
1,2600054,3,45,13377
1,2600054,3,50,146
1,2600054,3,77,13708
1,2600054,5,13,23377
1,2600054,5,16,168
1,2600054,5,22,21736
1,2600054,5,28,332
1,2600054,5,29,13
1,2600054,5,44,1919
1,2600054,5,45,1105
1,2600054,5,50,525
1,2600054,5,55,4310
1,2600054,6,10,2950
1,2600054,6,11,9882
1,2600054,6,12,558
1,2600054,6,13,4345
1,2600054,6,14,55
1,2600054,6,15,3102
1,2600054,6,16,22
1,2600054,6,18,1775
1,2600054,6,19,962
1,2600054,6,20,61
1,2600054,6,21,36
1,2600054,6,22,8044
1,2600054,6,23,1514
1,2600054,6,27,167
1,2600054,6,28,422
1,2600054,6,29,5
1,2600054,6,30,70
1,2600054,6,33,46
1,2600054,6,35,8
1,2600054,6,36,148
1,2600054,6,40,7384
1,2600054,6,43,620
1,2600054,6,44,7106
1,2600054,6,45,327
1,2600054,6,50,1480
1,2600054,6,51,184
1,2600054,6,55,71
1,2600054,6,65,932
1,2600054,6,70,2779
1,2600054,6,77,3132
1,2600054,6,80,31
1,2600054,6,90,11
1,2600054,7,10,6610
1,2600054,7,11,8925
1,2600054,7,12,377
1,2600054,7,13,4575
1,2600054,7,14,98
1,2600054,7,16,21
1,2600054,7,18,455
1,2600054,7,21,38
1,2600054,7,22,9425
1,2600054,7,23,453
1,2600054,7,27,11
1,2600054,7,28,313
1,2600054,7,29,6
1,2600054,7,33,68
1,2600054,7,35,196
1,2600054,7,36,52
1,2600054,7,40,11346
1,2600054,7,43,1672
1,2600054,7,44,3773
1,2600054,7,45,623
1,2600054,7,50,852
1,2600054,7,51,795
1,2600054,7,55,176
1,2600054,7,65,618
1,2600054,7,70,275
1,2600054,7,77,7015
1,2600054,7,80,20
1,2600054,7,90,9
1,2600104,3,14,27
1,2600104,3,16,3
1,2600104,3,21,43
1,2600104,3,22,2310
1,2600104,3,29,1
1,2600104,3,35,1
1,2600104,3,40,7408
1,2600104,3,44,2670
1,2600104,3,45,1556
1,2600104,3,50,18
1,2600104,3,77,4818
1,2600104,5,13,10612
1,2600104,5,16,16
1,2600104,5,22,3291
1,2600104,5,28,11
1,2600104,5,29,7
1,2600104,5,44,960
1,2600104,5,45,158
1,2600104,5,50,62
1,2600104,5,55,2295
1,2600104,6,10,421
1,2600104,6,11,598
1,2600104,6,12,155
1,2600104,6,13,1621
1,2600104,6,14,29
1,2600104,6,15,218
1,2600104,6,16,7
1,2600104,6,18,213
1,2600104,6,19,4255
1,2600104,6,20,7
1,2600104,6,21,6
1,2600104,6,22,1558
1,2600104,6,23,35
1,2600104,6,27,3
1,2600104,6,28,237
1,2600104,6,29,1
1,2600104,6,30,287
1,2600104,6,33,2
1,2600104,6,36,5
1,2600104,6,40,8115
1,2600104,6,43,40
1,2600104,6,44,180
1,2600104,6,45,114
1,2600104,6,50,137
1,2600104,6,51,56
1,2600104,6,55,12
1,2600104,6,65,42
1,2600104,6,70,731
1,2600104,6,77,1012
1,2600104,6,80,9
1,2600104,6,90,1
1,2600104,7,10,167
1,2600104,7,11,652
1,2600104,7,12,43
1,2600104,7,13,844
1,2600104,7,14,21
1,2600104,7,16,1
1,2600104,7,18,34
1,2600104,7,21,6
1,2600104,7,22,1255
1,2600104,7,23,29
1,2600104,7,28,12
1,2600104,7,33,3
1,2600104,7,35,3
1,2600104,7,36,5
1,2600104,7,40,12978
1,2600104,7,43,130
1,2600104,7,44,383
1,2600104,7,45,126
1,2600104,7,50,95
1,2600104,7,51,186
1,2600104,7,55,128
1,2600104,7,65,1101
1,2600104,7,70,7
1,2600104,7,77,1925
1,2600104,7,80,1
1,2600203,3,14,64
1,2600203,3,21,3
1,2600203,3,22,840
1,2600203,3,29,1
1,2600203,3,40,2442
1,2600203,3,44,6362
1,2600203,3,45,227
1,2600203,3,50,3
1,2600203,3,77,1954
1,2600203,5,13,1644
1,2600203,5,16,2
1,2600203,5,22,1398
1,2600203,5,28,6
1,2600203,5,44,1156
1,2600203,5,45,2689
1,2600203,5,50,3
1,2600203,5,55,4063
1,2600203,6,10,71
1,2600203,6,11,6502
1,2600203,6,12,72
1,2600203,6,13,598
1,2600203,6,14,15
1,2600203,6,15,7
1,2600203,6,16,5
1,2600203,6,18,89
1,2600203,6,19,20
1,2600203,6,20,1
1,2600203,6,21,1
1,2600203,6,22,514
1,2600203,6,23,4
1,2600203,6,28,172
1,2600203,6,30,7
1,2600203,6,33,1
1,2600203,6,36,2
1,2600203,6,40,2688
1,2600203,6,43,5
1,2600203,6,44,1554
1,2600203,6,45,37
1,2600203,6,50,9
1,2600203,6,51,4
1,2600203,6,55,11
1,2600203,6,65,11
1,2600203,6,70,97
1,2600203,6,77,116
1,2600203,6,80,1
1,2600203,6,90,14
1,2600203,7,10,487
1,2600203,7,11,391
1,2600203,7,12,30
1,2600203,7,13,785
1,2600203,7,14,12
1,2600203,7,16,2
1,2600203,7,18,17
1,2600203,7,21,2
1,2600203,7,22,303
1,2600203,7,23,5
1,2600203,7,27,1
1,2600203,7,28,13
1,2600203,7,33,3
1,2600203,7,35,1
1,2600203,7,36,2
1,2600203,7,40,4155
1,2600203,7,43,56
1,2600203,7,44,3078
1,2600203,7,45,503
1,2600203,7,50,5
1,2600203,7,51,141
1,2600203,7,55,300
1,2600203,7,65,62
1,2600203,7,70,16
1,2600203,7,77,2011
1,2600203,7,80,1
1,2600203,7,90,4
1,2600302,3,14,23
1,2600302,3,16,2
1,2600302,3,21,16
1,2600302,3,22,1859
1,2600302,3,35,1
1,2600302,3,40,2997
1,2600302,3,44,1302
1,2600302,3,45,4245
1,2600302,3,50,18
1,2600302,3,77,3081
1,2600302,5,13,7528
1,2600302,5,16,15
1,2600302,5,22,2583
1,2600302,5,28,11
1,2600302,5,44,554
1,2600302,5,45,821
1,2600302,5,50,45
1,2600302,5,55,588
1,2600302,6,10,1552
1,2600302,6,11,1149
1,2600302,6,12,516
1,2600302,6,13,349
1,2600302,6,14,10
1,2600302,6,15,158
1,2600302,6,16,1
1,2600302,6,18,204
1,2600302,6,19,75
1,2600302,6,20,11
1,2600302,6,21,4
1,2600302,6,22,1637
1,2600302,6,23,74
1,2600302,6,28,331
1,2600302,6,30,7
1,2600302,6,33,11
1,2600302,6,35,2
1,2600302,6,36,10
1,2600302,6,40,5406
1,2600302,6,43,1068
1,2600302,6,44,929
1,2600302,6,45,24
1,2600302,6,50,88
1,2600302,6,51,31
1,2600302,6,55,11
1,2600302,6,65,52
1,2600302,6,70,144
1,2600302,6,77,160
1,2600302,6,80,1
1,2600302,6,90,2
1,2600302,7,10,147
1,2600302,7,11,1826
1,2600302,7,12,286
1,2600302,7,13,1259
1,2600302,7,14,6
1,2600302,7,16,3
1,2600302,7,18,29
1,2600302,7,21,5
1,2600302,7,22,512
1,2600302,7,23,42
1,2600302,7,28,30
1,2600302,7,33,3
1,2600302,7,35,4
1,2600302,7,36,3
1,2600302,7,40,2602
1,2600302,7,43,318
1,2600302,7,44,387
1,2600302,7,45,228
1,2600302,7,50,72
1,2600302,7,51,1726
1,2600302,7,55,58
1,2600302,7,65,3685
1,2600302,7,70,22
1,2600302,7,77,444
1,2600302,7,80,7
1,2600302,7,90,2
1,2600401,3,14,15
1,2600401,3,16,3
1,2600401,3,21,16
1,2600401,3,22,1822
1,2600401,3,35,2
1,2600401,3,40,2947
1,2600401,3,44,1893
1,2600401,3,45,1766
1,2600401,3,50,4
1,2600401,3,77,4730
1,2600401,5,13,5719
1,2600401,5,16,12
1,2600401,5,22,2462
1,2600401,5,28,27
1,2600401,5,29,1
1,2600401,5,44,735
1,2600401,5,45,173
1,2600401,5,50,29
1,2600401,5,55,2764
1,2600401,6,10,324
1,2600401,6,11,637
1,2600401,6,12,120
1,2600401,6,13,340
1,2600401,6,14,9
1,2600401,6,15,405
1,2600401,6,18,148
1,2600401,6,19,22
1,2600401,6,20,2
1,2600401,6,21,3
1,2600401,6,22,1130
1,2600401,6,23,40
1,2600401,6,28,96
1,2600401,6,30,2
1,2600401,6,33,17
1,2600401,6,35,1
1,2600401,6,36,1
1,2600401,6,40,365
1,2600401,6,43,5789
1,2600401,6,44,942
1,2600401,6,45,26
1,2600401,6,50,57
1,2600401,6,51,14
1,2600401,6,55,12
1,2600401,6,65,214
1,2600401,6,70,382
1,2600401,6,77,2811
1,2600401,6,80,3
1,2600401,7,10,209
1,2600401,7,11,1049
1,2600401,7,12,91
1,2600401,7,13,653
1,2600401,7,14,6
1,2600401,7,16,2
1,2600401,7,18,45
1,2600401,7,21,4
1,2600401,7,22,917
1,2600401,7,23,65
1,2600401,7,27,13
1,2600401,7,28,14
1,2600401,7,33,5
1,2600401,7,35,22
1,2600401,7,36,13
1,2600401,7,40,5619
1,2600401,7,43,389
1,2600401,7,44,1127
1,2600401,7,45,100
1,2600401,7,50,34
1,2600401,7,51,95
1,2600401,7,55,178
1,2600401,7,65,132
1,2600401,7,70,51
1,2600401,7,77,2467
1,2600401,7,80,2
1,2600401,7,90,2
1,2600500,3,14,48
1,2600500,3,16,2
1,2600500,3,21,23
1,2600500,3,22,1822
1,2600500,3,29,5
1,2600500,3,35,1
1,2600500,3,40,7608
1,2600500,3,44,1948
1,2600500,3,45,2428
1,2600500,3,50,81
1,2600500,3,77,6201
1,2600500,5,13,12212
1,2600500,5,16,9
1,2600500,5,22,2894
1,2600500,5,28,4
1,2600500,5,29,1
1,2600500,5,44,844
1,2600500,5,45,266
1,2600500,5,50,121
1,2600500,5,55,2995
1,2600500,6,10,265
1,2600500,6,11,4178
1,2600500,6,12,340
1,2600500,6,13,8216
1,2600500,6,14,25
1,2600500,6,15,1447
1,2600500,6,16,3
1,2600500,6,18,622
1,2600500,6,19,101
1,2600500,6,20,7
1,2600500,6,21,10
1,2600500,6,22,1631
1,2600500,6,23,52
1,2600500,6,27,1
1,2600500,6,28,174
1,2600500,6,29,1
1,2600500,6,30,24
1,2600500,6,33,13
1,2600500,6,35,1
1,2600500,6,36,5
1,2600500,6,40,432
1,2600500,6,43,19
1,2600500,6,44,941
1,2600500,6,45,31
1,2600500,6,50,90
1,2600500,6,51,14
1,2600500,6,55,18
1,2600500,6,65,1695
1,2600500,6,70,149
1,2600500,6,77,1743
1,2600500,6,80,2
1,2600500,6,90,2
1,2600500,7,10,138
1,2600500,7,11,3620
1,2600500,7,12,119
1,2600500,7,13,9405
1,2600500,7,14,21
1,2600500,7,16,3
1,2600500,7,18,558
1,2600500,7,21,7
1,2600500,7,22,825
1,2600500,7,23,18
1,2600500,7,27,3
1,2600500,7,28,18
1,2600500,7,33,7
1,2600500,7,35,1
1,2600500,7,36,5
1,2600500,7,40,3893
1,2600500,7,43,112
1,2600500,7,44,205
1,2600500,7,45,292
1,2600500,7,50,146
1,2600500,7,51,31
1,2600500,7,55,213
1,2600500,7,65,122
1,2600500,7,70,12
1,2600500,7,77,2404
1,2600500,7,80,6
1,2600500,7,90,2
1,2600609,3,14,8
1,2600609,3,21,15
1,2600609,3,22,452
1,2600609,3,35,1
1,2600609,3,40,3968
1,2600609,3,44,317
