CD_CARGO,NR_TURNO,CD_MUN,QT_VOTOS
3,1,2600054,58604
3,1,2600104,18855
3,1,2600203,11896
3,1,2600302,13544
3,1,2600401,13198
3,1,2600500,20167
3,1,2600609,8195
3,1,2600708,18349
3,1,2600807,11176
3,1,2600906,11267
3,1,2601003,5918
3,1,2601052,11826
3,1,2601102,39251
3,1,2601201,34381
3,1,2601300,7238
3,1,2601409,19472
3,1,2601508,6574
3,1,2601607,10756
3,1,2601706,39265
3,1,2601805,6332
3,1,2601904,32135
3,1,2602001,17618
3,1,2602100,22189
3,1,2602209,19967
3,1,2602308,20961
3,1,2602407,6190
3,1,2602506,4656
3,1,2602605,22311
3,1,2602704,7799
3,1,2602803,22973
3,1,2602902,109404
3,1,2603009,17751
3,1,2603108,10572
3,1,2603207,11959
3,1,2603306,5159
3,1,2603405,4683
3,1,2603454,88783
3,1,2603504,9928
3,1,2603603,4869
3,1,2603702,11377
3,1,2603801,9922
3,1,2603900,10949
3,1,2603926,7845
3,1,2604007,41713
3,1,2604106,180879
3,1,2604155,7721
3,1,2604205,17102
3,1,2604304,6451
3,1,2604403,7815
3,1,2604502,12667
3,1,2604601,13133
3,1,2604700,8695
3,1,2604809,7148
3,1,2604908,9975
3,1,2605004,13522
3,1,2605103,18424
3,1,2605152,11415
3,1,2605202,33599
3,1,2605301,17344
3,1,2605400,12372
3,1,2605459,1974
3,1,2605509,6770
3,1,2605608,10577
3,1,2605707,16664
3,1,2605806,8919
3,1,2605905,9765
3,1,2606002,68457
3,1,2606101,14970
3,1,2606200,44335
3,1,2606309,4979
3,1,2606408,44685
3,1,2606507,9460
3,1,2606606,13476
3,1,2606705,4503
3,1,2606804,60942
3,1,2606903,6055
3,1,2607000,9680
3,1,2607109,2973
3,1,2607208,55039
3,1,2607307,14234
3,1,2607406,3213
3,1,2607505,12508
3,1,2607604,12125
3,1,2607653,15594
3,1,2607703,7928
3,1,2607752,13824
3,1,2607802,9250
3,1,2607901,325980
3,1,2607950,6063
3,1,2608008,9938
3,1,2608057,7319
3,1,2608107,15799
3,1,2608206,8937
3,1,2608255,6501
3,1,2608305,8365
3,1,2608404,7766
3,1,2608453,10807
3,1,2608503,12505
3,1,2608602,7168
3,1,2608701,7918
3,1,2608750,14129
3,1,2608800,21043
3,1,2608909,31309
3,1,2609006,12495
3,1,2609105,7180
3,1,2609154,8306
3,1,2609204,5545
3,1,2609303,7745
3,1,2609402,33224
3,1,2609501,17714
3,1,2609600,221424
3,1,2609709,12306
3,1,2609808,8559
3,1,2609907,31983
3,1,2610004,27350
3,1,2610103,3794
3,1,2610202,13417
3,1,2610301,7320
3,1,2610400,13063
3,1,2610509,17323
3,1,2610608,31575
3,1,2610707,168320
3,1,2610806,12195
3,1,2610905,32236
3,1,2611002,16820
3,1,2611101,173823
3,1,2611200,6554
3,1,2611309,13596
3,1,2611408,7321
3,1,2611507,9383
3,1,2611533,4313
3,1,2611606,914309
3,1,2611705,14405
3,1,2611804,18990
3,1,2611903,10918
3,1,2612000,7632
3,1,2612109,4624
3,1,2612208,29260
3,1,2612307,8011
3,1,2612406,10609
3,1,2612455,9307
3,1,2612471,6434
3,1,2612505,47650
3,1,2612554,8630
3,1,2612604,21607
3,1,2612703,7197
3,1,2612802,5489
3,1,2612901,4722
3,1,2613008,22832
3,1,2613107,20822
3,1,2613206,11983
3,1,2613305,11542
3,1,2613404,9990
3,1,2613503,16689
3,1,2613602,15195
3,1,2613701,57203
3,1,2613800,9625
3,1,2613909,42031
3,1,2614006,10731
3,1,2614105,16290
3,1,2614204,19100
3,1,2614303,6250
3,1,2614402,3820
3,1,2614501,32106
3,1,2614600,13763
3,1,2614709,6705
3,1,2614808,11808
3,1,2614857,12721
3,1,2615003,14906
3,1,2615102,4142
3,1,2615201,6299
3,1,2615300,28982
3,1,2615409,23867
3,1,2615508,8057
3,1,2615607,15091
3,1,2615706,7820
3,1,2615805,10313
3,1,2615904,5617
3,1,2616001,9625
3,1,2616100,5527
3,1,2616183,5147
3,1,2616209,10895
3,1,2616308,14787
3,1,2616407,71342
3,1,2616506,6433
3,2,2600054,63642
3,2,2600104,20873
3,2,2600203,12638
3,2,2600302,15021
3,2,2600401,14340
3,2,2600500,22144
3,2,2600609,9260
3,2,2600708,20346
3,2,2600807,12407
3,2,2600906,12311
3,2,2601003,6607
3,2,2601052,12907
3,2,2601102,42358
3,2,2601201,37330
3,2,2601300,7546
3,2,2601409,21308
3,2,2601508,6846
3,2,2601607,11129
3,2,2601706,43984
3,2,2601805,6648
3,2,2601904,36049
3,2,2602001,19383
3,2,2602100,23867
3,2,2602209,22045
3,2,2602308,22790
3,2,2602407,6819
3,2,2602506,5307
3,2,2602605,24408
3,2,2602704,8661
